uid,recorded_file,original_file,label,true_label,true_str,pred_label,pred_str,real_prob,fake_prob,confidence,duration,correct,error,architecture,language,mic,speaker
48a43214871e,wav/48a43214871e/benign/en/80f42758ec67.wav,en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_24_f000021.wav,bona-fide,0,REAL,1,FAKE,0.38368,0.61632,0.61632,9.77,0,,xtts_v1.1,en,Beats Flex,Soundbar SAMSUNG HW-B750D
3b5ab255ffd9,wav/3b5ab255ffd9/benign/de/e578dcf4f9b4.wav,de_DE/by_book/female/angela_merkel/merkel_alone/wavs/Kanzlerin_27_12_f000040.wav,bona-fide,0,REAL,0,REAL,0.992438,0.007562,0.992438,8.161,1,,bark,de,Jabra PHS002W,Meeting Owl Pro
c39b2a0fbef0,wav/c39b2a0fbef0/spoof/xtts_v1.1/pl/53989cd44e71.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v1.1/lalka_1_03_f000075.wav,spoof,1,FAKE,0,REAL,0.951527,0.048473,0.951527,6.0,0,,xtts_v1.1,pl,Sennheiser Profile USB Microphone,Philips AT10/00 Speaker
5d24e452524e,wav/5d24e452524e/spoof/bark/de/7a9e2f0a1beb.wav,fake/de/tts_models_multilingual_multi-dataset_bark/zweiplaneten_11_lasswitz_f000149.wav,spoof,1,FAKE,0,REAL,0.883675,0.116325,0.883675,12.08,0,,bark,de,VideoMic Pro (+20dB),Jabra PHS002W
dd642a8c091a,wav/dd642a8c091a/spoof/vits/es/699d9df0686c.wav,fake/es/tts_models_es_css10_vits/napoleonenchamartin_13_perezgaldos_f000058.wav,spoof,1,FAKE,0,REAL,0.780942,0.219058,0.780942,10.526,0,,vits,es,Jabra Evolve2 40 Headset,Jabra Evolve2 40 Headset
b5a0a107e0e5,wav/b5a0a107e0e5/benign/it/c6acbe2cc4d3.wav,it_IT/by_book/male/riccardo_fasol/le_meraviglie_del_duemila/wavs/meraviglieduemila_15_salgari_f000029.wav,bona-fide,0,REAL,0,REAL,0.905573,0.094427,0.905573,6.04,1,,bark,it,Yeti USB,Bose Mini II SE Soundlink
fc657248a15f,wav/fc657248a15f/benign/es/59f6747ce702.wav,es_ES/by_book/male/tux/trafalgar/wavs/trafalgar_17_perezgaldos_f000049.wav,bona-fide,0,REAL,0,REAL,0.652478,0.347522,0.652478,8.11,1,,vits,es,Jabro Evolve2 40 Headset,Logitech Z323
8dfeb1ddef8b,wav/8dfeb1ddef8b/benign/en/f26c2d802edb.wav,en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_46_f000355.wav,bona-fide,0,REAL,1,FAKE,0.095824,0.904176,0.904176,6.92,0,,vits,en,AirPods Pro 2,MacBook Pro 13 2020 Speakers
5c0f99ff5049,wav/5c0f99ff5049/spoof/xtts_v2/pl/78bf388581f5.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v2/saragossie_14_f000190.wav,spoof,1,FAKE,0,REAL,0.866383,0.133617,0.866383,10.641,0,,xtts_v2,pl,Sennheiser Profile USB Microphone,S2-010
373d5e1728a8,wav/373d5e1728a8/spoof/bark/de/666c1e2e7282.wav,fake/de/tts_models_multilingual_multi-dataset_bark/Kanzlerin_02_13_f000024.wav,spoof,1,FAKE,0,REAL,0.948068,0.051932,0.948068,10.707,0,,bark,de,IRig Mic Lav,Logitech Z323
