uid,recorded_file,original_file,label,true_label,true_str,pred_label,pred_str,real_prob,fake_prob,confidence,duration,correct,error,architecture,language,mic,speaker,infer_time
48a43214871e,wav/48a43214871e/benign/en/80f42758ec67.wav,en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_24_f000021.wav,bona-fide,0,REAL,1,FAKE,0.130427,0.869573,0.869573,9.77,0,,xtts_v1.1,en,Beats Flex,Soundbar SAMSUNG HW-B750D,0.8858
3b5ab255ffd9,wav/3b5ab255ffd9/benign/de/e578dcf4f9b4.wav,de_DE/by_book/female/angela_merkel/merkel_alone/wavs/Kanzlerin_27_12_f000040.wav,bona-fide,0,REAL,1,FAKE,0.000742,0.999258,0.999258,8.161,0,,bark,de,Jabra PHS002W,Meeting Owl Pro,0.8131
c39b2a0fbef0,wav/c39b2a0fbef0/spoof/xtts_v1.1/pl/53989cd44e71.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v1.1/lalka_1_03_f000075.wav,spoof,1,FAKE,1,FAKE,3e-06,0.999997,0.999997,6.0,1,,xtts_v1.1,pl,Sennheiser Profile USB Microphone,Philips AT10/00 Speaker,0.8464
5d24e452524e,wav/5d24e452524e/spoof/bark/de/7a9e2f0a1beb.wav,fake/de/tts_models_multilingual_multi-dataset_bark/zweiplaneten_11_lasswitz_f000149.wav,spoof,1,FAKE,0,REAL,0.626385,0.373615,0.626385,12.08,0,,bark,de,VideoMic Pro (+20dB),Jabra PHS002W,0.8347
dd642a8c091a,wav/dd642a8c091a/spoof/vits/es/699d9df0686c.wav,fake/es/tts_models_es_css10_vits/napoleonenchamartin_13_perezgaldos_f000058.wav,spoof,1,FAKE,1,FAKE,0.156295,0.843705,0.843705,10.526,1,,vits,es,Jabra Evolve2 40 Headset,Jabra Evolve2 40 Headset,0.8605
b5a0a107e0e5,wav/b5a0a107e0e5/benign/it/c6acbe2cc4d3.wav,it_IT/by_book/male/riccardo_fasol/le_meraviglie_del_duemila/wavs/meraviglieduemila_15_salgari_f000029.wav,bona-fide,0,REAL,1,FAKE,0.000552,0.999448,0.999448,6.04,0,,bark,it,Yeti USB,Bose Mini II SE Soundlink,0.8162
fc657248a15f,wav/fc657248a15f/benign/es/59f6747ce702.wav,es_ES/by_book/male/tux/trafalgar/wavs/trafalgar_17_perezgaldos_f000049.wav,bona-fide,0,REAL,0,REAL,0.99999,1e-05,0.99999,8.11,1,,vits,es,Jabro Evolve2 40 Headset,Logitech Z323,0.7619
8dfeb1ddef8b,wav/8dfeb1ddef8b/benign/en/f26c2d802edb.wav,en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_46_f000355.wav,bona-fide,0,REAL,1,FAKE,0.049952,0.950048,0.950048,6.92,0,,vits,en,AirPods Pro 2,MacBook Pro 13 2020 Speakers,0.7623
5c0f99ff5049,wav/5c0f99ff5049/spoof/xtts_v2/pl/78bf388581f5.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v2/saragossie_14_f000190.wav,spoof,1,FAKE,1,FAKE,0.000465,0.999535,0.999535,10.641,1,,xtts_v2,pl,Sennheiser Profile USB Microphone,S2-010,0.8621
373d5e1728a8,wav/373d5e1728a8/spoof/bark/de/666c1e2e7282.wav,fake/de/tts_models_multilingual_multi-dataset_bark/Kanzlerin_02_13_f000024.wav,spoof,1,FAKE,1,FAKE,0.286359,0.713641,0.713641,10.707,1,,bark,de,IRig Mic Lav,Logitech Z323,0.8652
d154dc243923,wav/d154dc243923/spoof/bark/pl/41b6dfcc14c9.wav,fake/pl/tts_models_multilingual_multi-dataset_bark/saragossie_25_f000014.wav,spoof,1,FAKE,1,FAKE,2e-06,0.999998,0.999998,13.68,1,,bark,pl,Yeti USB,Sound Intone MS200 Headphones,0.8387
b5a0a107e0e5,wav/b5a0a107e0e5/spoof/bark/de/bb3aa729f79a.wav,fake/de/tts_models_multilingual_multi-dataset_bark/mein_weg_als_deutscher_und_jude_006_f000199.wav,spoof,1,FAKE,1,FAKE,0.000106,0.999894,0.999894,11.76,1,,bark,de,Yeti USB,Bose Mini II SE Soundlink,0.7566
83e4ddad49d2,wav/83e4ddad49d2/spoof/bark/pl/48aae5e84500.wav,fake/pl/tts_models_multilingual_multi-dataset_bark/saragossie_54_f000092.wav,spoof,1,FAKE,0,REAL,0.999999,1e-06,0.999999,10.213,0,,bark,pl,ThinkPad P14s Gen2,Oliver Wyman speaker (20cm),0.7574
a7e254bd9748,wav/a7e254bd9748/spoof/bark/es/7b1e2b2679fc.wav,fake/es/tts_models_multilingual_multi-dataset_bark/el19demarzoyel2demayo_25_perezgaldos_f000036.wav,spoof,1,FAKE,1,FAKE,0.000643,0.999357,0.999357,8.173,1,,bark,es,Sennheiser Profile USB Microphone,SteelSeries Arctis 3 2019 Headset,0.7631
6a7712aa6d4a,wav/6a7712aa6d4a/spoof/xtts_v2/it/a54fb06eef07.wav,fake/it/tts_models_multilingual_multi-dataset_xtts_v2/mattiapascal_05_pirandello_f000028.wav,spoof,1,FAKE,1,FAKE,5e-06,0.999995,0.999995,10.789,1,,xtts_v2,it,UM10 USB,Dell Zylux Multimediasystem,0.7583
d154dc243923,wav/d154dc243923/benign/fr/42afa3574181.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_04_f000073.wav,bona-fide,0,REAL,0,REAL,0.99999,1e-05,0.99999,7.01,1,,vits,fr,Yeti USB,Sound Intone MS200 Headphones,0.7579
0af776b43107,wav/0af776b43107/benign/pl/70a550dbf9f0.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_1_12_f000081.wav,bona-fide,0,REAL,0,REAL,0.998262,0.001738,0.998262,6.249,1,,xtts_v2,pl,UM10 USB,Bose Mini II SE Soundlink,0.7805
2a16eaf2ea3d,wav/2a16eaf2ea3d/spoof/vits/fr/dcfd60293c37.wav,./fake/fr/tts_models_fr_css10_vits/monsieur_lecoq_2_17_f000082.wav,spoof,1,FAKE,1,FAKE,7e-06,0.999993,0.999993,9.864,1,,vits,fr,Sony SRS-BTS500 Bluetooth mic,Built-in speaker MacBook Air 2011,0.7656
41fe2dd222e1,wav/41fe2dd222e1/spoof/vits/de/d9c3b2ef3018.wav,fake/de/tts_models_de_thorsten_vits/grune_haus_11_f000033.wav,spoof,1,FAKE,1,FAKE,0.45208,0.54792,0.54792,7.937,1,,vits,de,AudioTechnica capacitor AT4033a,MacBook Pro 13 2017 built-in speakers,0.7615
fbf472c53584,wav/fbf472c53584/benign/fr/9070237529a5.wav,fr_FR/female/nadine_eckert_boulet/les_mysteres_de_paris/wavs/les_mysteres_de_paris_4_12_f000106.wav,bona-fide,0,REAL,0,REAL,0.890379,0.109621,0.890379,10.91,1,,xtts_v1.1,fr,Jabra Evolve2 40 Headset,Dell Zylux Multimediasystem,0.8157
d8a68b2cda2b,wav/d8a68b2cda2b/benign/fr/c7c8ba366cee.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_1_19_f000026.wav,bona-fide,0,REAL,0,REAL,0.999986,1.4e-05,0.999986,7.64,1,,xtts_v2,fr,Yeti USB,JBL Flip 4,0.7899
