filepath,source,label,duration_sec,sample_rate,channels,corrupt
data\raw\deep_voice\real\biden-original.wav,deep_voice,real,600.0029791666667,48000,2,False
data\raw\deep_voice\real\linus-original.wav,deep_voice,real,570.3575510204082,44100,2,False
data\raw\deep_voice\real\margot-original.wav,deep_voice,real,79.48718820861679,44100,2,False
data\raw\deep_voice\real\musk-original.wav,deep_voice,real,600.1337641723356,44100,2,False
data\raw\deep_voice\real\obama-original.wav,deep_voice,real,600.4493541666667,48000,2,False
data\raw\deep_voice\real\ryan-original.wav,deep_voice,real,93.69036281179139,44100,2,False
data\raw\deep_voice\real\taylor-original.wav,deep_voice,real,600.1763038548753,44100,2,False
data\raw\deep_voice\real\trump-original.wav,deep_voice,real,600.4309375,48000,2,False
data\raw\deep_voice\fake\biden-to-linus.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\biden-to-margot.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\biden-to-musk.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\biden-to-Obama.wav,deep_voice,fake,600.0,40000,2,False
data\raw\deep_voice\fake\biden-to-ryan.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\biden-to-taylor.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\biden-to-Trump.wav,deep_voice,fake,600.0,40000,2,False
data\raw\deep_voice\fake\linus-to-biden.wav,deep_voice,fake,570.3575510204082,44100,2,False
data\raw\deep_voice\fake\linus-to-margot.wav,deep_voice,fake,570.3575510204082,44100,2,False
data\raw\deep_voice\fake\linus-to-musk.wav,deep_voice,fake,570.3575510204082,44100,2,False
data\raw\deep_voice\fake\linus-to-obama.wav,deep_voice,fake,570.3575510204082,44100,2,False
data\raw\deep_voice\fake\linus-to-ryan.wav,deep_voice,fake,570.3575510204082,44100,2,False
data\raw\deep_voice\fake\linus-to-taylor.wav,deep_voice,fake,570.3575510204082,44100,2,False
data\raw\deep_voice\fake\linus-to-trump.wav,deep_voice,fake,570.3575510204082,44100,2,False
data\raw\deep_voice\fake\margot-to-biden.wav,deep_voice,fake,79.48718820861679,44100,2,False
data\raw\deep_voice\fake\margot-to-linus.wav,deep_voice,fake,79.48718820861679,44100,2,False
data\raw\deep_voice\fake\margot-to-musk.wav,deep_voice,fake,79.48718820861679,44100,2,False
data\raw\deep_voice\fake\margot-to-obama.wav,deep_voice,fake,79.48718820861679,44100,2,False
data\raw\deep_voice\fake\margot-to-ryan.wav,deep_voice,fake,79.48718820861679,44100,2,False
data\raw\deep_voice\fake\margot-to-taylor.wav,deep_voice,fake,79.48718820861679,44100,2,False
data\raw\deep_voice\fake\margot-to-trump.wav,deep_voice,fake,79.48718820861679,44100,2,False
data\raw\deep_voice\fake\musk-to-biden.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\musk-to-linus.wav,deep_voice,fake,600.0,44100,2,False
