original_file,resampled_path,original_sample_rate,target_sample_rate,duration_sec
data\raw\gary_stafford\real\gs_00000.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00000.wav,16000,16000,5.237
data\raw\gary_stafford\real\gs_00001.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00001.wav,16000,16000,4.642
data\raw\gary_stafford\real\gs_00002.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00002.wav,16000,16000,5.79
data\raw\gary_stafford\real\gs_00003.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00003.wav,16000,16000,3.721
data\raw\gary_stafford\real\gs_00004.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00004.wav,16000,16000,4.4470625
data\raw\gary_stafford\real\gs_00005.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00005.wav,16000,16000,9.443
data\raw\gary_stafford\real\gs_00006.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00006.wav,16000,16000,6.5330625
data\raw\gary_stafford\real\gs_00007.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00007.wav,16000,16000,2.8060625
data\raw\gary_stafford\real\gs_00008.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00008.wav,16000,16000,3.33
data\raw\gary_stafford\real\gs_00009.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00009.wav,16000,16000,4.093
data\raw\gary_stafford\real\gs_00010.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00010.wav,16000,16000,10.312
data\raw\gary_stafford\real\gs_00011.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00011.wav,16000,16000,2.805
data\raw\gary_stafford\real\gs_00012.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00012.wav,16000,16000,3.74
data\raw\gary_stafford\real\gs_00013.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00013.wav,16000,16000,2.8060625
data\raw\gary_stafford\real\gs_00014.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00014.wav,16000,16000,4.981
data\raw\gary_stafford\real\gs_00015.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00015.wav,16000,16000,5.546
data\raw\gary_stafford\real\gs_00016.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00016.wav,16000,16000,5.6090625
data\raw\gary_stafford\real\gs_00017.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00017.wav,16000,16000,3.9250625
data\raw\gary_stafford\real\gs_00018.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00018.wav,16000,16000,3.9490625
data\raw\gary_stafford\real\gs_00019.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00019.wav,16000,16000,3.042
data\raw\gary_stafford\real\gs_00020.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00020.wav,16000,16000,4.615
data\raw\gary_stafford\real\gs_00021.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00021.wav,16000,16000,7.291
data\raw\gary_stafford\real\gs_00022.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00022.wav,16000,16000,5.745
data\raw\gary_stafford\real\gs_00023.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00023.wav,16000,16000,9.411
data\raw\gary_stafford\real\gs_00024.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00024.wav,16000,16000,6.755
data\raw\gary_stafford\real\gs_00025.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00025.wav,16000,16000,3.0440625
data\raw\gary_stafford\real\gs_00026.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00026.wav,16000,16000,6.314
data\raw\gary_stafford\real\gs_00027.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00027.wav,16000,16000,3.2820625
